Content,Rating,Aspect,Polarity
"Cũng như cây cối cần vun tưới, làn da cần được chúng ta quan tâm mỗi ngày thì mới khoẻ mạnh được. Với mình, làm sạch da, đặc biệt là da mặt luôn là một trong những bước quan trọng nhất trong chu trình chăm sóc sức khoẻ, sắc đẹp hàng ngày. Sản phẩm rửa mặt mà mình tin dùng mỗi ngày chính là Sữa rửa mặt dịu nhẹ Happy Event.

Nếu bạn là người yêu thích các sản phẩm dược mỹ phẩm thì chắc chắn không thể nào không biết đến công ty TNHH Rohto-Metholatum nổi tiếng. Happy Event là dòng sản phẩm dịu nhẹ, dành cho thai phụ rất được yêu thích của Rohto-Metholatum vì chất lượng tuyệt vời, mức giá phải chăng, phù hợp túi tiền của tất cả mọi người. 

Các bạn biết đấy, sau một ngày dài tiếp xúc với khói bụi ô nhiễm, làn da thải ra rất nhiều mồ hôi, tế bào chết và cần làm sạch bằng nước, sữa/gel/kem rửa mặt... Nhưng sau đó, da có thể gặp tình trạng khô ráp nếu làm sạch quá kĩ hoặc chẳng may dùng phải sản phẩm không phù hợp. Sau khi thử khá nhiều sản phẩm khác nhau, thì mình đã tìm được chân ái của cuộc đời. Đó chính là Sữa rửa mặt dịu nhẹ Happy Event. Mình thường dùng em ấy hai lần sáng-tối mỗi ngày. Sản phẩm có dạng chai nhựa màu hồng kết hợp với trắng, vòi pump tiện lợi, vệ sinh. Kết cấu dạng sữa màu trắng, không quá đặc, mùi rất thơm, kiểu tự nhiên chứ không phải hoá chất. Sau khi rửa, làn da trở nên sạch sẽ, sảng khoái mà vẫn mịn màng. Đó là nhờ thành phần gồm dầu Oliu dưỡng ẩm và dưỡng sáng cùng với tinh chất tràm trà ngăn ngừa mụn hiệu quả. Bên cạnh đó, Sữa rửa mặt Happy Event không chứa Parabens, màu nhân tạo... nên rất an toàn. Mình an tâm sử dụng sản phẩm suốt cả thai kỳ để có làn da khỏe mạnh, sáng mịn.
 
Trên đây là cách mình dùng để chăm sóc da da mặt hàng ngày đấy. Sắp tới có lẽ mình sẽ thử trải nghiệm thêm một số sản phẩm khác của Happy Event nữa. Còn mọi người thì sao, đừng ngại chia sẻ về sản phẩm làm sạch da mặt mà bạn đang dùng với mình nhé ❤️",5,"QUALITY, OTHERS","QUALITY: Positive, OTHERS: Positive"
"Dù công việc bận rộn thì hãy luôn nhớ dành một chút thời gian mỗi ngày để làm đẹp cho bản thân nhé mọi người. Chẳng cần đến Spa đắt tiền ở đâu xa, chỉ cần ở nhà tự chăm sóc là cũng khá là ok rồi. Một trong những bước trong chu trình dưỡng da mà mình yêu thích nhất bởi độ tiện lợi cũng như hiệu quả cao chính là làm sạch da. Loại sữa rửa mặt mà mình đang sử dụng dạo gần đây và rất ưng ý là sữa rửa mặt dịu nhẹ Happy Event của. Mình thường sử dụng sản phẩm hai lần mỗi ngày vào buổi sáng sau khi thức dậy và buổi tối sau khi đi làm về. Chỉ vài phút rửa mặt với Happy Event là làn da đã được làm sạch sâu khỏi bụi bẩn, dầu thừa và stress từ công việc. Thư giãn lắm lắm đó!

Theo mình tìm hiểu thì Happy Event thuộc công ty TNHH Rohto-Metholtum, là một thương hiệu nổi bật trong số ít thương hiệu chăm sóc da đặc chế cho thai phụ tại Việt Nam. Với thành phần được chiết xuất từ các dưỡng chất thiên nhiên, các sản phẩm đến từ Happy Event sẽ giúp các mẹ bầu khỏe đẹp trong suốt cả thai kỳ. Bên cạnh đó, các sản phẩm Happy Event cũng được rất nhiều tín đồ làm đẹp Việt quan tâm và yêu thích vì tính hiệu quả mà vẫn dịu nhẹ và giá cả phải chăng. 

Nhìn chung, bao bì chai sữa rửa mặt Happy Event khá xinh xắn với tông màu hồng nữ tính chủ đạo. Dạng chai nhựa chắc chắn, hợp vệ sinh, kiểm soát tốt lượng sản phẩm mỗi lần dùng. Trên thân chai có in đầy đủ các thông tin cần thiết như: Thành phần, cách dùng, hạn sử dụng... Kết cấu sản phẩm có dạng sữa màu trắng nhạt, không quá đặc nên khi thêm nước nhanh tan để tạo bọt. Mùi hương thơm như hoa, rất dễ chịu. Cách sử dụng tương đối đơn giản: Làm ướt mặt, lấy một lượng sữa vừa đủ vào lòng bàn tay và thoa đều khắp mặt, rửa lại với nhiều nước. Ngay sau khi rửa, da sạch sẽ, mềm mại, chạm vào thích lắm luôn. Sau một thời gian sử dụng đều đặn, da mình sáng mịn lên trông thấy. Đó là nhờ thành phần có dầu olive tinh khiết giàu vitamin E, K, A, D giúp da tăng tính đàn hồi và sáng mịn; tinh chất tràm trà kháng khuẩn, ngăn hình thành mụn mới. Sự thay đổi nội tiết tố trong quá trình mang thai khiến hàng rào bảo vệ da mất cân bằng và dần suy yếu, dễ dẫn đến các vấn đề như mụn, nám, sạm... Tất cả những vấn đề này đều được sữa rửa mặt Happy Event “cân” tất. Quả là nhỏ mà có võ đấy nha. Hơn thế nữa, giá thành sản phẩm còn cực kỳ phải chăng, mình mua tại Tiki với giá chỉ 76k cho một chai 120ml. Dùng mấy tháng mới hết nên rất là kinh tế luôn.

Nếu bạn đang băn khoăn tìm kiếm một sản phẩm giúp làm sạch hiệu quả mà vẫn dịu nhẹ với da, đồng thời chăm sóc da khoẻ mạnh, sáng mịn và hỗ trợ điều trị mụn thì hãy thử sữa rửa mặt Happy Event mà mình vừa review nhé, chắc chắn bạn sẽ hài lòng. Và ngoài ra, hãng Happy Event cũng còn rất nhiều sản phẩm khác với chiết xuất thiên nhiên như Sữa chống rạn da, dung dịch dưỡng da... nữa đấy.

Cảm ơn tất cả mọi người vì đã xem bài viết này của mình. Chúc tất cả mọi người một ngày cuối tuần thật vui vẻ bên gia đình, bạn bè!",5,"QUALITY, OTHERS","QUALITY: Positive, OTHERS: Positive"
"🥳 Da mặt mình rất nhạy cảm với một số dòng sản phẩm có chứa cồn và mùi hương. Cho nên việc lựa chọn sữa rửa mặt phù hợp khiến mình mất nhiều thời gian. Và mình biết đến Sữa rửa mặt dịu nhẹ Happy Event khi được chị làm cùng Công ty giới thiệu. 
👉 Sau khi tìm hiểu và sử dụng Sữa rửa mặt dịu nhẹ Happy Event mình thấy rất ưng ý và cảm thấy da mặt sạch, tăng khả năng cấp ẩm và sáng da rõ rệt
👉 Sữa rửa mặt dịu nhẹ Happy Event chứa dầu Ô-liu tinh khiết và tinh chất tràm trà giúp làn da sạch dịu nhẹ, kháng khuẩn, tăng khả năng cấp ẩm, giúp da ngừa mụn và sáng mịn hơn. Trước kia mặt mình mụn tùm lum luôn, còn cả vết thâm. Nhưng sau 1 tháng sử dụng Sữa rửa mặt dịu nhẹ Happy Event thì cải thiện rõ rệt á. Vui lắm luôn
👉Bên cạnh đó thành phần dầu Ô-liu tinh khiết và Tinh chất trà tràm có trong sữa rửa mặt dịu nhẹ Happy Event Gentle Cleanser tăng tính đàn hồi da, giúp kháng khuẩn và ngăn ngừa hình thành mụn mới. Đây là bước cải tiến mới không phải sữa rửa mặt nào cũng làm được nè. 
🤩 Đặc biệt Sữa rửa mặt dịu nhẹ Happy Event rất an toàn cho mẹ bầu trước và sau sinh luôn nè. Do thành phần đều từ tự nhiên lên độ an toàn tuyệt đối. 
❤️Cảm ơn Sữa rửa mặt dịu nhẹ Happy Event người bạn đồng hành của mình - giúp da sáng mịn và trắng sáng. 🤩🤩🤩",5,"QUALITY, OTHERS","QUALITY: Positive, OTHERS: Positive"
"mẹ nào muốn chăm sóc da trong lúc mang bầu thì nên cân nhắc đến srm Happy Event, mình từng dùng cả combo srm và sữa chống rạn da, rất hài lòng 👍🏻",5,OTHERS,OTHERS: Positive
"Ko những mẹ bầu mà những bạn cần dùng srm an toàn, lành tính thì có thể xài srm này nhé. Không chất tạo màu, không paraben, cực dịu nhẹ",5,"QUALITY, OTHERS","QUALITY: Positive, OTHERS: Positive"
"da mặt mình nhạy cảm, từng bị sần nhiều, dùng Happy Event xong thấy tình trạng mụn được cải thiện, da sáng hơn, cảm ơn Happy Event",5,QUALITY,QUALITY: Positive
Sản phẩm tốt mọi người người nên dùng thử nhé. Cám ơn shop. ( hình ảnh không liên quan),5,QUALITY,QUALITY: Positive
"vì sản phẩm sử dụng phù hợp với da nhạy cảm, đặc biệt thích hợp cho bà bầu .",5,"QUALITY, OTHERS","QUALITY: Positive, OTHERS: Positive"
dịu nhẹ,5,QUALITY,QUALITY: Positive
"giao hàng nhanh, gói hàng đẹp",5,"SHIPPING, PACKING","SHIPPING: Positive, PACKING: Positive"
"Dịu nhẹ nhưng mình không thích mùi hương, phải chi có loại không mùi",4,"QUALITY, SMELL","QUALITY: Positive, SMELL: Negative"
diệu nhẹ thơm dễ chịu,4,"QUALITY, SMELL","QUALITY: Positive, SMELL: Positive"
cũng được sản phẩm dịu nhẹ. mùi hơi gắt,3,"QUALITY, SMELL","QUALITY: Positive, SMELL: Negative"
"Mùi thơm rất nồng, không bọt, dịu nhẹ",3,QUALITY,QUALITY: Neutral
rua  xong da ko kho nhu sua rua mat khac giao hang dung ngay,4,QUALITY,QUALITY: Neutral
hàng check ko ra mã vạch vậy,1,OTHERS,OTHERS: Negative
xài ok thơm mùi dễ chịu,4,"QUALITY, SMELL","QUALITY: Positive, SMELL: Positive"
da mình hỗn hợp nên dùng ko cảm giác gì lạ. vì dạng gel nên rửa hầu như không cảm nhận gì.,5,"QUALITY, OTHERS","QUALITY: Neutral, OTHERS: Neutral"
"Trong mùa dịch nên giao hàng lâu nên rất thông cảm cho shop và Tiki. Đóng gói nên bao bọc tốt hơn để tránh va đập trong quá trình vận chuyển. Sản phẩm là ""chân ái"" rồi nên ko cần nhận xét nhiều! Sản phẩm chính hãng và còn nguyên nhãn mác trên nắp chai! XIN CẢM ƠN - SHOP & TIKI!",5,"QUALITY, SHIPPING, OTHERS","QUALITY: Positive, SHIPPING: Neutral, OTHERS: Positive"
"Mình đặt mua ngày 25/12 mà đến ngày 27/12 đã giao hàng nhưng vì bận mình hẹn lại đến 28/12 mới nhận được. Hàng đóng gói kỹ, có tem hàng dễ vỡ. đã test thử sd rất dễ chịu, ko có biểu hiện dị ứng gì do da mình khá nhạy cảm. Sẽ tiếp tục sd sp này. Đặc biệt anh giào hàng rất nhiệt tình và vui vẻ, chu đáo.",5,"QUALITY, SHIPPING","QUALITY: Positive, SHIPPING: Positive"
"Cetaphil chất lượng khỏi nói rồi, hiệu quả cực kì, vô cùng lành tính. Mình da dầu và đang trong thời kì dậy thì, mặt nhiều mụn, dùng em này chăm chỉ ngày hai lần sáng tối kết hợp skincare đầy đủ, an toàn là da dẻ sáng lạng đỡ hơn hẳn. Mặc dù chỉ có 125ml và lúc về cái lọ bé tí, nhưng mà mình dùng hơn tháng rồi chưa hết. À, loại này thì không có bọt, nên khi rửa các bạn chỉ nên cho một lượng vừa đủ thôi nhe!",5,"QUALITY, OTHERS","QUALITY: Positive, OTHERS: Neutral"
"Giao hàng rất nhanh. Đóng gói hộp vừa đủ nhưng có lẽ khoảng trống vẫn còn, góp ý bên đóng gói sản phẩm nhãn hàng cần có thêm bọc chống sốc trong quá trình vận chuyển ạ. Mình mới sử dụng được một lần và cảm thấy khá ưng ý khoảng 90%, bao gồm: mùi, chất gel, màu sắc, khi thoa với nước có độ mịn và trơn nhất định, mát, rất thích hợp cho những bạn thích massage trong khi rửa sạch như mình. Tuy nhiên, đối với người dùng từ sửa rửa mặt tạo nhiều bọt chuyển sang dạng gel vẫn còn hơi lúng túng là vì không cảm nhận được nhiều độ làm sạch của nó. Đồng thời những bạn có da thiên dầu thì sản phẩm này vẫn còn hơi nhẹ để làm sạch da. Cảm ơn các bạn đã đọc feedback của mình!",5,"QUALITY, SHIPPING","QUALITY: Positive, SHIPPING: Positive"
"Mình ở SG, đặt hàng hồi 8:30 sáng, đến 3:30 chiều đã nhận được hàng. Chắc vội và nhiều đơn hay sao mà đóng gói khá thô sơ, tất cả bỏ vào 1 cái hộp cacton rồi dán lại, cộng thêm SG mưa nên nhìn nó ộp ẹp lắm, TUY VẬY NHƯNG SẢN PHẨM VẪN NGUYÊN VẸN, không bị chảy hay rỉ, và mình không có gì để phàn nàn. Chất lượng chắc phải dùng mới biết do trước giờ mình chưa dùng sản phẩm của Cetaphil. 5 sao vì Tiki giao hàng nhanh quá.",5,"QUALITY, SHIPPING","QUALITY: Positive, SHIPPING: Positive"
đóng gói sản phẩm bên ngoài ok. Hàng Made in Canada còn chất lượng thì chắc không phải bàn.,5,"QUALITY, PACKING, OTHERS","QUALITY: Positive, PACKING: Positive, OTHERS: Positive"
"Hài lòng với tiki lắm nha ❤ còn sử dụng thì không biết như nào, nghe được review khá nhiều là tốt cho tuổi dậy thì nèkkkk????",5,QUALITY,QUALITY: Positive
"Sản phẩm khá lỏng, khả năng làm sạch ko cao. Nếu bạn nào muốn có một loại sữa dịu nhẹ và buổi sáng để làm sạch lại mỹ phẩm buổi tối và skin care buổi sáng thì ổn cho da khô và da dầu nhạy cảm. Nhưng nếu dùng cho buổi tối hoặc đi làm ở ngoài về thì không đủ nha, nên mua thêm một lại gel rửa mặt vào buổi tối nữa. Đề cử Laroche posay.",5,"QUALITY, OTHERS","QUALITY: Positive, OTHERS: Positive"
"Bình thường mình hay sử dụng sản phẩm vào buổi sáng, vì lúc đó da mặt ko quá nhiều bụi mà chỉ có dầu thôi. Sản phẩm sử dụng nhẹ dịu và sạch da mặt. Mình đã order tiếp để sử dụng vì sản phẩm khá ok",5,"QUALITY, OTHERS","QUALITY: Positive, OTHERS: Neutral"
"Các bạn tuổi teen bắt đầu tập tành skincare có thể dùng e này đầu tiên (bạn nào da đang nhạy cảm cũng có thể dùng). Bởi loại này cực kì cực cực kì LÀNH TÍNH, nó có thể dùng cho em bé luôn mà. Vậy nên ko sợ dị ứng, khô rát da sau khi dùng,.... M hay dùng em này vài buổi sáng hoặc những khi ko makeup và muốn dùng cái gì đó nhẹ nhàng thôi cho da mặt thoải mái.
Tuy nhiên rất dễ chán vì...nó ko mùi, ko dưỡng, ko tẩy da chết, ko làm trắng sáng...hay tỷ tỷ thứ công năng thần thánh như các loại srm khác. Chỉ đơn giản là làm sạch, thế thôi.",5,QUALITY,QUALITY: Positive
"Loại này mình được ny tặng dùng thử, vì da mình rất nhạy cảm và mình không cũng khá lười chăm sóc bản thân nên xưa giờ không quan tâm tới sữa rửa mặt. Sau khi dùng hết 1 chai thì lần này thì mình mua thêm 1 chai nữa:
- Dung tích cho hơn 1 tháng dùng.
- Nhẹ nhàng, không tạo bọt.
- Không dị ứng hay nổi mụn đỏ lúc đầu dùng.
- Hiệu quả. Mặt đỡ mụn hơn trước nhiều (mình thấy vậy).
- Có thể dùng cái này kèm với Bông tẩy trang để lau mặt cho sạch (ny nói vại )",5,"QUALITY, OTHERS","QUALITY: Positive, OTHERS: Positive"
"Tiki giao hàng lần này siêu nhanh! Đặt buổi tối mà trưa hôm sau nhận hàng ngay luôn! SRM Cetaphil rất tốt cho da khô như mình. Rửa mặt xong cảm giác nhẹ và mềm, không bị khô rát. Date sản phẩm tới 2.5 năm nè. 5 sao nhé!",5,"QUALITY, SHIPPING, OTHERS","QUALITY: Positive, SHIPPING: Positive, OTHERS: Positive"
"Mặt hàng giao đúng, giá rẻ trong đợt sales , hàng giao từ đà nẵng ra 6 ngày mới nhận đc",5,"SHIPPING, PRICE, OTHERS","SHIPPING: Neutral, PRICE: Positive, OTHERS: Positive"
"Mình rất hài lòng về sản phầm này, hàng chuẩn, giá cả hợp lí, sp dùng dc cho mọi loại da, dùng cảm giác dịu nhẹ mà rất sạch, không có cảm giác bị nhờ dính. Có điều mình vừa mới mua mà hôm sau tiki giảm giá luôn nên hơi buồn.",5,"QUALITY, PRICE, OTHERS","QUALITY: Positive, PRICE: Positive, OTHERS: Neutral"
"Da mình đang trong giai đoạn mụn và dễ kích ứng, đây là dòng srm tốt và phù hợp nhất sau khi so sánh với khá nhiều loại mình đã từng dùng. Không khô căng da, nhưng rõ ràng là sạch vì mụn trên da không lan rộng, mình không dùng sản phẩm trị mụn nữa nhưng thấy da cải thiện rõ rệt, nốt mụn khô và thu nhỏ dần, không có nốt mụn mới, da không ửng đỏ, chứng tỏ da sạch nhưng không bị quá khô. Bạn nào quen cảm giác da sạch bong kin kít của các loại srm nhiều bọt chắc mới dùng sẽ không quen, nhưng chỉ 1-2 lần sẽ thích cảm giác da mềm mại chứ không căng lên sau khi khô mặt. Chắc chắn mình sẽ dùng tiếp sản phẩm này.",5,QUALITY,QUALITY: Positive
"mình mua để dùng cho bé gái 11 tuổi nhà mình, rất ưng dùng khô rất thích, dùng xong sờ da ẩm nhẹ ko bị khô, nên dùng cho các bé giai đoạn dậy thì hoặc da nhạy cảm.sạch hạn chế được mụn rất nhiều, triệu like.",5,QUALITY,QUALITY: Positive
"chồng mình bị da nhờn, mụn bọc, mụn cám dày, rổ hết cả mặc, bao nhiêu thứ thuốc, da liễu chả bớt, lăn kim hết tỏng mười mấy chiệu mà ko tác dụng. Sài hết 2 chai này mặt giảm đến 90% mụn, rất tốt, hàng thật, giao hàng lại nhanh",5,"QUALITY, SHIPPING","QUALITY: Positive, SHIPPING: Positive"
"Mình thuộc dạng lười sd sữa rửa mặt nhưng từ khi có em ấy mình siêng lên hẳn. Cảm giác da mặt mình được làm sạch nhưng k quá khô như các sp mình đã xài. Vì k mùi, k màu k cay mắt nên mình rất thoải mái khi sử dụng. Sử dụng nhiều quá nên sau gần 1 tháng mình thì em ấy đã gần hết. Tiki mình rất tin tưởng nên chắc lên đây mua thôi ahii",5,QUALITY,QUALITY: Positive
"Thương hiệu này khỏi cần bàn quá nhiều. Đơn giản là rất tốt, nhẹ nhàng, không mùi thơm (mình thích vậy) không gây kích ứng hay bất cứ mẫn ngứa khó chịu nào. Cháu mình 12 tuổi dùng rất thích.",5,"QUALITY, OTHERS","QUALITY: Positive, OTHERS: Positive"
mình mới dùng sản phẩm này thâý mọi người đều nói tốt cho da nhạy cảm như mình. Nhưng chắc đang quen dùng sữa rửa mặt có ít bọt đang sướng giờ cái này ko bọt nên chưa quen. Dùng được một thời gian nếu tốt thì sẽ đánh giá và mua tiếp,5,QUALITY,QUALITY: Positive
"Da của mình thuộc dạng thường thiên khô và cực kì khó chịu. Xài chống nắng không được, kem dưỡng không được, sữa rửa mặt mạnh thì càng không.  Người ta càng dưỡng càng đẹp còn mình càng dưỡng càng xuống cấp. Nhưng em này xài thích lắm nhé, da mềm sạch không quá khô và căng da, ko bị khó chịu, không mùi. Cá nhân thích khoản không tạo bọt của em này luôn. Ai có làn da chảnh chảnh chút thì xài em này là đảm bảo mê.",5,QUALITY,QUALITY: Positive
"Da mình không bị mụn nhiều, cũng k quá nhiều dầu nên mỗi ngày dùng Cetaphil 2 lần là da mặt đã sạch và khỏe r, sau khi rửa sờ da không bị kin kít như nhiều loại sữa rửa mặt khác, nghĩa là da vẫn còn lại 1 lớp dầu mỏng để giữ cho da không  bị khô, mình rất thích điểm này của Cetaphil",5,QUALITY,QUALITY: Positive
"Nếu ai chưa xài bao giờ thì nên mua chai 125ml xài thử nha, rất ổn, phù hợp với mọi loại da, sạch nhờn,dưỡng ẩm tốt mình mua xài thử chai nhỏ rồi, ok quá nên mua luôn chai to",5,"QUALITY, OTHERS","QUALITY: Positive, OTHERS: Neutral"
"Sp dùng tốt, ko tạo nhiều bọt nhưng vẫn sạch da, ko tạo cảm giác kin kít khó chịu. HSD dài đến 2021 nên các bạn yên tâm mà mua.",5,QUALITY,QUALITY: Positive
Mình dùng được khoảng 1 tuần kết hợp với srm centaphy thì thấy mặt đã đỡ mụn đi cảm thấy mặt sạch hơn rất là nhiều ai ai cũng khen mặt ít mụn hơn lúc trước nên mình cảm thấy ai có mụn kết hợp 2 em này rất là OK luôn,5,QUALITY,QUALITY: Positive
"Tiki đóng gói rất cẩn thận, sản phẩm mình dùng khá tốt, sạch nhẹ nhàng, và đỡ mụn hơn trước. Mình dùng lọ 125 ml này trong 25 ngày là hết veo (mình sử dụng em này 2 lần/ngày). Nên thời gian tới mình sẽ chuyển sang lọ to hơn để dùng đc lâu hơn.",5,"QUALITY, PACKING","QUALITY: Positive, PACKING: Positive"
"Tiki giao hàng nhanh, đóng gói cẩn thận, sản phẩm có hạn sử dụng xa (đến 1/2021, date 30 tháng). Sữa rữa mặt dịu nhẹ, không bọt, sạch nhưng không làm khô da, cảm giác rất nhẹ nhàng khi sử dụng.",5,"QUALITY, SHIPPING, PACKING, OTHERS","QUALITY: Positive, SHIPPING: Positive, PACKING: Positive, OTHERS: Positive"
"Xài tới chai thứ mấy rồi không nhớ ? nói chung nhẹ dịu, sạch sâu, k gây kích ứng, giá lại mềm, xài tesf thử nhiều srm rồi xong ở lại với em này. Với bây giờ ưng quá cũng lười mạo hiểm cái khác hịi",5,QUALITY,QUALITY: Positive
Srm này thì đọc rv mọi ng nói là nhẹ dịu rửa như ko rửa. Mà đối với những ng da mặt nhạy cảm đang bị tổn thương do kem trộn hoặc rượu thuốc thì đáng để chọn phục hồi từ từ,5,OTHERS,OTHERS: Positive
"bạn nào đang bị dị ứng hay da khô nhạy cảm thì nên xài em này, mình đang điều trị da bằng laze da đang bị kích ứng và cực kỳ khô rửa mặt bằng em này thấy đỡ ngứa và giảm đỏ hẳn. giá lại hợp lý nữa. cho 5*",5,OTHERS,OTHERS: Positive
"sữa rửa mặt mịn, dịu nhẹ, không kích ứng da. thích hợp với các bạn da dầu hay nhạy cảm. bởi nó dịu nhẹ vô cùng, nhưng độ làm sạch thì không cao bằng các loại srm có chất tẩy khác đâu nhen",5,QUALITY,QUALITY: Positive
"giao hàng nhanh, đóng gói cẩn thận, chất lượng sản phẩm thì miễn bàn, đây đã là lần thứ tư mình mua rồi ❤️",5,"QUALITY, SHIPPING, PACKING","QUALITY: Positive, SHIPPING: Positive, PACKING: Positive"
"Vài ngày đầu e chưa dám thử trên mặt, chỉ thử trên cổ vs vùng da gần sau cánh tay. Thấy k bị đỏ hay kích ứng nên hai hôm nay thử trên mặt rồi. Khá ổn, sạch da. Đúng như mik xem rv trên mạng, k có bọt. Theo e thì thích hợp vs mọi loại da, e chỉ mới 13t thôi mà dùng cực tốt ấy ạ. Nếu m.n. sợ bị dị ứng thì e có 1 gợi ý nhỏ, là hãy test thử vài lần ở vùng da mềm mềm sau cánh tay ấy ạ. Cho 5 sao về chất lượng. Lần sau e sẽ mua chai lớn hơn ạ.",5,QUALITY,QUALITY: Positive
"Sữa rửa mặt nhìn như nước cơm vo vậy, không mùi, không màu. Mình đang bị dị ứng mà xài thì hết ngay. Bạn nào da nhạy cảm hay bị dị ứng thì dùng loại này để làm sạch da là tốt nhất. Đặc biệt không ""xà phòng"" nên không có bọt nha. Vì không xà phòng nên không bào mòn da, không gây kích ứng,...
Tiki giao hàng nhanh và đóng gói cẩn thận",5,"QUALITY, SHIPPING, PACKING","QUALITY: Neutral, SHIPPING: Positive, PACKING: Positive"
"Cetaphil từ lâu đã quá nổi tiếng về độ an toàn và dịu nhẹ. Sản phẩm thích hợp với cả trẻ nhỏ và da nhạy cảm nhất.
Chất sữa lỏng nhẹ, không tạo bọt, không mùi
Mình thuộc da dầu nên chỉ dùng ""ẻm"" vào buổi sáng vì qua đêm da chưa phải tiếp xúc với bụi bẩn cũng như đổ dầu thừa, còn tối thì phải sử dụng srm tạo bọt để làm sạch sâu cho da.
Đây là sản phẩm đáng mua tuy vậy khi mới bóc hộp khá ngạc nhiên vì em í khá nhỏ và là dạng lỏng nên dùng rất nhanh hết ^^",5,QUALITY,QUALITY: Positive
Giao trễ hơn 1 ngày nhưng do dịch nên thông cảm cho mấy a shipper,5,SHIPPING,SHIPPING: Neutral
"Da mình thuộc loại da nhạy cảm và có mụn, từ lâu đã kp dám sử dụng bất kỳ loại sửa rửa mặt nào vì cứ dùng là bị lên mụn và mẩn đỏ.
Mới đây có tham khảo và nghe bạn giới thiệu về Cetaphil dùng thử, thực sự kết quả bất ngờ. Da sạch, ko bị lên mụn và dị ứng sữa rửa mặt như trc kia nữa. Vote 5 sao cho sản phẩm sửa rửa mặt trị mụn này.
Tks Tiki",5,QUALITY,QUALITY: Positive
"Đã dùng và thấy rất tốt, SRM k có bọt dùng cho da mình trong mùa đông không gây khô rát, dịu nhẹ, thích hợp dùng trong mùa đông với làn da nhạy cảm",5,QUALITY,QUALITY: Positive
"đã mua chai này là thứ 3 hay thứ 4 gì trên tiki rồi đó. Hàng dùng quá tốt so với các loại trc đây mình sài. Bỏ innisfree để qua sài cetaphil mà. Dùng dịu nhẹ, ít bị dị ứng, nổi mụn, không mùi, không bọt. Hợp ý mình",5,"QUALITY, SMELL","QUALITY: Positive, SMELL: Positive"
"Bé này rất lành tính. Mặt mình khá khoẻ nên chưa cảm nhận được cái tốt thật sự của bé. Mình rửa cảm giác không sạch. Với mặt của mẹ mình- da nhạy cảm và rất mụn thì mẹ bảo rửa rất sướng. Bé làm cho da mặt mẹ mình mềm, dịu nhẹ đi hẳn. Với các bạn da mặt nhạy cảm nên rước bé về ngay và luôn.",5,QUALITY,QUALITY: Positive
"da mình có mụn và rất nhạy cảm nên trước giờ chỉ hợp với srm dịu nhẹ này thôi, ko thể nhớ đây là lọ thứ mấy nữa. Dùng em này cảm giác cưng cái mặt mình hơn, da ai mụn và nhạy cảm thì rất khuyên dùng nhé!",5,QUALITY,QUALITY: Positive
"Sp chính hãng : k mùi rửa mặt cũng sạch k gây kích ứng da, giá chấp nhận dc, nói chung xài ổn",5,"QUALITY, OTHERS","QUALITY: Positive, OTHERS: Positive"
"Sản phẩm đẹp có ích mà đúng ra tiki đừng nên bắt buột đánh giá phải có nội dung bao nhiêu ký tự, kỉu hơi bất tiện sẽ khiến KH lười đánh giá tội nghiệp shop",5,"QUALITY, OTHERS","QUALITY: Positive, OTHERS: Negative"
"Đây là loại sữa rửa mặt mình thấy dùng thích nhất , rất dịu nhẹ , ko bị kích ứng da , mình dùng tầm hơn 1 năm r . 1 chai nhỏ này dùng đc khoảng tầm 3 tháng ?",5,QUALITY,QUALITY: Positive
"tiki đóng gói cận thận 
hàng lại chính hãng nữa mình rất là Yên tâm",5,"PACKING, OTHERS","PACKING: Positive, OTHERS: Positive"
"Sản phẩm dùng thích, không mùi, rửa xong da không bị khô, rít, giao hàng hơi lâu nhưng vẫn chấp nhận được. Tiki giao hàng muộn hơn dự kiến có xin lỗi nên mình rất thích việc chăm sóc khách hàng của Tiki.",5,"QUALITY, SMELL, SHIPPING, OTHERS","QUALITY: Positive, SMELL: Positive, SHIPPING: Negative, OTHERS: Positive"
"Hàng đóng gói kỹ, giao hàng cũng nhanh chóng. Rửa mặt khá là thích vì k có bọt mấy, k có mùi và khá sạch",5,"QUALITY, SHIPPING, PACKING","QUALITY: Positive, SHIPPING: Positive, PACKING: Positive"
"SRM dịu nhẹ, k tạo bọt, thoa lên mặt với massage xong thấy da mềm mại cực, thích lắm. Sẽ tiếp tục sử dụng sản phẩm và ủng hộ tiki. À, chị giao hàng thân thiện lắm ạ!",5,"QUALITY, SHIPPING","QUALITY: Positive, SHIPPING: Positive"
da ko bị khô sau khi sd,5,QUALITY,QUALITY: Positive
"Rửa mặt bớt mụn hơn, không bị khô da sau khi rửa mặt. Độ pH khá nhẹ, dùng k lên 1 tí bọt nào luôn. Nhưng dùng xong da mặt sẽ mịn màng hơn thấy rõ.",5,QUALITY,QUALITY: Positive
"Dịu nhẹ. Sạch. Không kích ứng. Thích hợp mọi loại da. Không mùi
Ít bọt xài hơi tốn",5,"QUALITY, SMELL","QUALITY: Positive, SMELL: Neutral"
Minh moi mua hôm qua giờ muốn đổi lại chai lớn hơn 500ml được không,5,OTHERS,OTHERS: Neutral
"Đóng gói đẹp, xài thử thấy chất lượng sản phẩm phù hợp",5,"QUALITY, PACKING","QUALITY: Positive, PACKING: Positive"
